id,name,surname,hand,dob,country
104877,Peter,Aarts,U,19870225,USA
127089,Lorenzo,Abbruciati,U,19901114,ITA
137914,Jorge,Abde Celis,U,19971023,CHI
200652,Mohamed,Abdel Aziz,U,19981221,EGY
105773,Bruno,Abdel Nour,U,19910511,SYR
110683,Ahmed,Abdrabuh,R,19850523,SYR
110632,Ahmed Deedat,Abdul Razak,R,19950618,MAS
105201,Marc,Abdulnour,R,19880811,SYR
200147,Shohruh,Abdumalikov,R,19970602,UZB
103948,Maximilian,Abel,R,19820228,GER
104580,Haithem,Abid,L,19850717,TUN
108782,Mahammad,Abid,U,19940603,PAK
124098,Mehdi,Abid,R,19950502,TUN
122510,Kuatbek,Abiyev,U,19950104,KAZ
108972,Ibrahim,Abou Chahine,R,19900807,LIB
200208,Ioan Dan,Abrudan,R,19990318,ROU
126938,Sharobiddin,Abzalov,U,19980219,UZB
104076,Jose,Acasuso,R,19821020,ARG
206785,Nicolas,Acevedo,U,19990925,CHI
144967,Gonzalo,Achondo,U,19971031,CHI
108709,Dario,Acosta,R,19870909,URU
109199,Diego,Acosta,R,19920411,ECU
103623,Jacob,Adaktusson,R,19800831,SWE
105150,Pablo Martin,Adalia,R,19880520,ESP
110584,Andrew,Adams,U,19930318,USA
106327,Harrison,Adams,R,19940525,USA
134205,Alec,Adamson,U,19940830,USA
200385,Dan,Added,U,19990413,FRA
132124,Aaron,Addison,R,19951112,AUS
206886,Amadatus,Admiraal,U,20000312,NED
124090,Mohamed,Adnaoui,R,19841209,MAR
105767,Llaurentiu,Ady Gavrila,R,19910504,ROU
126773,Roberto,Affonso Neto,R,19940209,ITA
124126,Sarp,Agabigun,R,19970612,TUR
104685,Aleksandr,Agafonov,U,19860223,UKR
106162,Franco,Agamenone,U,19930415,ARG
104961,Ryan,Agar,R,19870621,AUS
104038,Andrea,Agazzi,U,19820723,ITA
104325,Johannes,Ager,R,19840310,AUT
110664,Hamza,Aglaib,U,19900310,MAR
206882,Lucas,Agra,U,,BRA
104477,Jorge,Aguilar,R,19850108,CHI
200398,Juan Carlos Manuel,Aguilar,R,19981120,BOL
110660,Osvaldo,Aguirre,U,19860312,CHI
105812,David,Agung Susanto,U,19910721,INA
144760,Amine,Ahouda,U,19970911,MAR
126732,Eric,Ahren Moonga,R,19951227,SWE
207213,Duje,Ajdukovic,R,20010205,CRO
120792,M Abid Ali Khan,Akbar,U,19900722,PAK
126250,Rasul,Akhmadaliev,U,19960711,UZB
206911,Azizbek,Akhmadjonov,L,19970609,UZB
138273,Iznaur,Akhmaev,R,19930326,RUS
109740,Aydin,Akhmetshin,U,19941020,RUS
103760,Haluk,Akkoyun,R,19810425,TUR
200636,Umut,Akkoyun,U,20000710,TUR
126937,Odil,Akramov,R,19941007,UZB
200565,Cengiz,Aksu,R,19980730,TUR
108996,Mahmoud Nader,Al Baloushi,U,19800603,UAE
110475,Abdulrahman,Al Harib,U,19950124,QAT
138304,Abdulrahman,Al Janahi,R,19941115,UAE
132815,Abdulla,Al Jufairi,U,19970829,QAT
110733,Adnan,Al Mahmoud,R,19880606,ROU
124030,Abdulla,Al Mohamoud,U,19961102,QAT
110738,Hamad,Al Mulla,U,19920816,QAT
106325,Jabor,Al Mutawa,U,19940521,QAT
108692,Mohammed,Al Nabhani,R,19850901,OMA
121908,Naser,Al Obaidly,U,19950311,KUW
111816,Ali,Al Saygh,R,19960212,QAT
105372,Issam,Al Tawil,R,19890710,SYR
126279,Jassem,Al Zeyara,U,19971209,QAT
207180,Shaheed,Alam,R,19980709,SIN
200525,Abdulrahman,Alawadhi,R,19920217,KUW
108618,Karim,Alayli,R,19830324,LIB
206920,Ricardo,Alban,U,20010110,ECU
201949,Felix,Albert,U,,GER
126917,Ruben,Alberts,U,19960625,RSA
105430,Radu,Albot,R,19891111,MDA
104739,Guillermo,Alcaide,R,19860527,ESP
108717,Francis Casey,Alcantara,U,19920204,PHI
202428,Joao Pedro,Alcantara,U,20000808,BRA
207989,Carlos,Alcaraz Garfia,R,20030505,ESP
106403,Albert,Alcaraz Ivorra,R,19950515,ESP
103849,Francesco,Aldi,R,19810917,ITA
105771,Nicolas,Alejandro De Gregorio,R,19910510,ARG
104186,Gleb,Alekseenko,R,19830519,UKR
104187,Vadim,Alekseenko,R,19830519,UKR
106278,Vasile,Alexandru Ghilea,R,19931231,ROU
105331,Petru,Alexandru Luncanu,L,19890507,ROU
106118,Ciprian,Alexandru Porumb,R,19930124,ROU
205831,Ammar,Alhogbani,U,19981128,USA
111175,Vugar,Aliev,U,19930903,RUS
207368,Mert,Alkaya,U,20000614,TUR
126080,Srikar,Alla,R,19930725,IND
103254,Yves,Allegro,R,19780824,SUI
110466,Khalid,Allouch,R,19910603,MAR
104597,Nicolas,Almagro,R,19850821,ESP
103673,Clayton,Almeida,R,19801226,BRA
138114,Graham,Alrutz,U,19941107,USA
126223,Abdulhameed,Alshatti,R,19950729,KUW
209456,Timur,Alshin,U,19960909,RUS
109148,Arturo,Altamirano,U,,ECU
123768,Collin,Altamirano,R,19951207,USA
207176,Muhammad,Althaf Dhaifullah,R,20001119,INA
106366,Can,Altiner,R,19941106,TUR
127157,Daniel,Altmaier,R,19980912,GER
105284,Tuna,Altuna,R,19890130,TUR
104651,Martin,Alund,R,19851226,ARG
108763,Alberto Emmanuel,Alvarado Larin,U,19941201,ESA
103524,Diego,Alvarez,R,19800306,ARG
126190,Nicolas,Alvarez,R,19960608,PER
122578,Andres,Alvarez Cerdan,U,19950203,MEX
104972,Mauricio,Alvarez Guzman,R,19870710,CHI
200374,Nicolas,Alvarez Varona,U,20010518,ESP
127123,Mateus,Alves,R,20010123,BRA
103999,Thiago,Alves,R,19820522,BRA
111191,Facundo,Alvo,U,19960202,ARG
104713,Juan Pablo,Amado,R,19860402,ARG
103637,Marcelo,Amador,U,19800927,MEX
202429,David Lucas,Ambrozic,U,19990212,SLO
202102,Filip,Ambrozy,R,20000822,POL
122672,Juan Ignacio,Ameal,U,19940508,ARG
200475,Jakob,Amilon,U,19940531,SWE
133690,Farzin Danny,Amiri,U,19951104,USA
104250,Prakash,Amritraj,R,19831002,IND
104561,Jae Sung,An,R,19850528,KOR
106012,Kunal,Anand,U,19920602,IND
200454,Nicolas,Ancedy,L,19950318,GUD
104339,Mario,Ancic,R,19840330,CRO
105169,Jean,Andersen,R,19880617,RSA
104158,Andrew,Anderson,R,19830408,RSA
104731,Kevin,Anderson,R,19860518,RSA
117352,Oliver,Anderson,U,19980430,AUS
133214,Goncalo,Andrade,U,19981202,POR
106405,Yuri,Andrade,U,19950530,BRA
202090,Adrian,Andreev,R,20010512,BUL
104214,Igor,Andreev,R,19830714,RUS
105819,Guido,Andreozzi,R,19910805,ARG
